#spuop,ConsoleSPUopService_CheckSKUValidForAccount,post,/console-internal/v1/skuop/check
spuop,ConsoleSPUopService_CheckAccountList,post,/console-internal/v1/skuop/check_account_list
spuop,ConsoleSPUopService_GetSKUFilter,get,/console-internal/v1/skuop/filter
spuop,ConsoleSPUopService_SetSKUFilter,post,/console-internal/v1/skuop/filter
#spuop,ConsoleSPUopService_GetSPUInfoByPoliceName,get,/console-internal/v1/spu_info_by_policy_name
spuop,ConsoleSPUopService_GetSPU,get,/console-internal/v1/spuop

# rechargeLog
rechargeLog,ConsoleRechargelogService_GetCurRechargeLog,get,/console-internal/v1/cur_recharge
#rechargeLog,ConsoleRechargelogService_GetLastThreeMonthBillAmountsByAccountIDList,get,/console-internal/v1/last_three_month_bill_amount/all
rechargeLog,ConsoleRechargelogService_Recharge,post,/console-internal/v1/recharge
rechargeLog,ConsoleRechargelogService_UpdateAccountAmountInfo,post,/console-internal/v1/recharge/account_amount
rechargeLog,ConsoleRechargelogService_GetAccountAmountInfo,get,/console-internal/v1/recharge/account_amount_info
#rechargeLog,ConsoleRechargelogService_CountSecondConfirmRechargeLogByAccountIDs,get,/console-internal/v1/recharge/accounts/second_confirm/count
#rechargeLog,ConsoleRechargelogService_CountUnprocessedRechargelogByAccountIDs,get,/console-internal/v1/recharge/accounts/unprocessed/count
rechargeLog,ConsoleRechargelogService_GetAllRechargeLog,get,/console-internal/v1/recharge/all
rechargeLog,ConsoleRechargelogService_GetInternalAmount,get,/console-internal/v1/recharge/amount
rechargeLog,ConsoleRechargelogService_GetBalancelogs,get,/console-internal/v1/recharge/balance_logs
rechargeLog,ConsoleRechargelogService_CancelRecharge,post,/console-internal/v1/recharge/cancel
rechargeLog,ConsoleRechargelogService_CreateRecharge,post,/console-internal/v1/recharge/create
#rechargeLog,ConsoleRechargelogService_GetLatestRechargelogsByAccountIDList,get,/console-internal/v1/recharge/latest/all
rechargeLog,ConsoleRechargelogService_UpdateOwedAmount,post,/console-internal/v1/recharge/owed_amount
rechargeLog,ConsoleRechargelogService_RejectRecharge,post,/console-internal/v1/recharge/reject
rechargeLog,ConsoleRechargelogService_SecondConfirmationRecharge,post,/console-internal/v1/recharge/second_confirm
#rechargeLog,ConsoleRechargelogService_GetSecondConfirmationRechargelogList,get,/console-internal/v1/recharge/second_confirm/all
#rechargeLog,ConsoleRechargelogService_GetUnprocessedRechargelogList,get,/console-internal/v1/recharge/unprocessed/all
rechargeLog,ConsoleRechargelogService_GetAmount,get,/console/v1/recharge/amount
rechargeLog,ConsoleRechargelogService_ApplyRecharge,post,/console/v1/recharge/apply


billInternal,ConsoleInternalBillService_GetInternalAllBill,get,/console-internal/v1/all_bill
billInternal,ConsoleInternalBillService_GetInternalOneBill,get,/console-internal/v1/bill
billInternal,ConsoleInternalBillService_UpdateInternalBillStatus,post,/console-internal/v1/bill
billInternal,ConsoleInternalBillService_DownloadBillDetail,post,/console-internal/v1/download
billInternal,ConsoleInternalBillService_SendInternalBill,post,/console-internal/v1/send_bill
ctidService,CTIDService_DetectFaces,post,/face-detect
ctidService,CTIDService_CheckQuality,post,/face-quality-check
ctidService,CTIDService_CompareFeatures,post,/feature-compare
ctidService,CTIDService_ExtractFeature,post,/feature-extract
ctidService,CTIDService_CheckHealth,post,/hello-world
ctidService,CTIDService_CompareImageAndFeature,post,/photo-feature-verify
ctidService,CTIDService_CompareAndExtractFeature,post,/two-photos-feature-verify
ctidService,CTIDService_CompareImages,post,/two-photos-verify

deviceIotCenter,DeviceIotCenter_OtaUpgradeBase,post,/v1/OtaUpgradeBase
deviceIotCenter,DeviceIotCenter_PushRtcLive,post,/v1/PushRtcLive
deviceIotCenter,DeviceIotCenter_PushRTMPLive,post,/v1/PushRTMPLive
deviceIotCenter,DeviceIotCenter_SetIpcConfig,post,/v1/SetIpcConfig
deviceIotCenter,DeviceIotCenter_StartCameraPTZ,post,/v1/StartCameraPTZ
deviceIotCenter,DeviceIotCenter_StartRtcAudio,post,/v1/StartRtcAudio
deviceIotCenter,DeviceIotCenter_StopCameraPTZ,post,/v1/StopCameraPTZ
